iter	Accuracy	MultiClass
331	0.5765862588	0.8919808802
332	0.5766204372	0.8919506195
333	0.576669806	0.8919207707
334	0.5766811988	0.8918827442
335	0.5766717048	0.891839112
336	0.5767343653	0.8918121292
337	0.5767514545	0.8917776676
338	0.5767647461	0.8917526997
339	0.5767438593	0.8917182121
340	0.5767704425	0.8916602223
341	0.5768312041	0.8916408404
342	0.5769166502	0.8915691214
343	0.576956525	0.8915327775
344	0.5769679179	0.8915059325
345	0.5769451322	0.8914638697
346	0.5769356382	0.8914257618
347	0.576956525	0.8913779718
348	0.5769356382	0.891330898
349	0.576966019	0.8913018625
350	0.5769432334	0.8912366448
351	0.5769679179	0.891179091
352	0.5769489298	0.891143419
353	0.5769527274	0.8910966617
354	0.5770552627	0.8910536674
355	0.5771521016	0.8910156879
356	0.577119822	0.8909509204
357	0.5771312148	0.8909106601
358	0.5771464052	0.890880703
359	0.5771881788	0.8908444404
360	0.5772546369	0.8908030924
361	0.5772964105	0.8907719276
362	0.5772850177	0.8907431013
363	0.5773097021	0.8907250998
364	0.5772888153	0.8906955752
365	0.5773324877	0.890643522
366	0.5772964105	0.8906041414
367	0.5773381841	0.8905724752
368	0.5773457793	0.8905148465
369	0.5774046422	0.8904476354
370	0.5774407194	0.8904183166
371	0.5774464158	0.8903919552
372	0.5774502134	0.8903622888
373	0.5774407194	0.890335426
374	0.5774274278	0.8903095875
375	0.5774824931	0.8902596757
376	0.5774862907	0.8902182415
377	0.5774995823	0.8901805756
378	0.5775318619	0.8901383858
